,FIPS,Date,Confirmed,Deaths,New Cases,New Deaths,"Cases, 7DMA","Deaths, 7DMA","New Cases Per 100k, 7DMA",Deaths Per 100k
1542,29119,2020-09-08,998,10,0,0,1,0,4,44
1543,29121,2020-09-08,87,0,2,0,1,0,7,0
1544,29123,2020-09-08,208,0,4,0,9,0,74,0
1545,29125,2020-09-08,51,0,1,0,1,0,11,0
1546,29127,2020-09-08,563,7,5,0,11,1,39,25
1547,29129,2020-09-08,25,0,0,0,1,0,28,0
1548,29131,2020-09-08,302,1,4,0,7,0,27,4
1549,29133,2020-09-08,248,0,3,0,2,0,15,0
1550,29135,2020-09-08,208,4,1,0,2,0,12,25
1551,29137,2020-09-08,76,0,0,0,1,0,12,0
1552,29139,2020-09-08,61,1,3,0,1,0,9,9
1553,29141,2020-09-08,163,1,7,0,6,0,29,5
1554,29143,2020-09-08,457,9,7,0,6,1,35,53
1555,29145,2020-09-08,1133,13,1,0,6,0,10,22
1556,29147,2020-09-08,641,7,2,0,13,0,59,32
1557,29149,2020-09-08,66,0,2,0,2,0,19,0
1558,29151,2020-09-08,94,1,1,0,2,0,15,7
1559,29153,2020-09-08,68,0,3,0,6,0,65,0
1560,29155,2020-09-08,388,9,7,0,7,0,44,57
1561,29157,2020-09-08,448,4,2,0,8,0,42,21
1562,29159,2020-09-08,860,8,2,0,8,0,19,19
1563,29161,2020-09-08,271,1,1,0,8,0,18,2
1564,29163,2020-09-08,160,2,5,0,2,0,11,11
1565,29165,2020-09-08,535,10,2,0,6,0,6,10
1566,29167,2020-09-08,348,0,5,0,8,0,25,0
1567,29169,2020-09-08,427,2,12,0,5,0,10,4
1568,29171,2020-09-08,28,1,0,0,1,0,21,21
1569,29173,2020-09-08,123,0,1,0,1,0,10,0
1570,29175,2020-09-08,150,1,1,0,3,0,12,4
1571,29177,2020-09-08,133,0,-2,0,1,0,4,0
1572,29179,2020-09-08,26,0,0,0,1,0,16,0
1573,29181,2020-09-08,113,0,1,0,3,0,23,0
1574,29183,2020-09-08,6281,105,52,0,69,0,17,26
1575,29185,2020-09-08,30,0,0,0,0,0,0,0
1576,29186,2020-09-08,138,1,1,0,4,0,22,6
1577,29187,2020-09-08,1357,5,35,0,37,0,55,7
1578,29189,2020-09-08,20839,760,104,0,168,3,17,76
1579,29195,2020-09-08,591,9,2,0,6,0,26,40
1580,29197,2020-09-08,20,0,0,0,0,0,0,0
1581,29199,2020-09-08,22,1,0,0,1,0,20,20
1582,29201,2020-09-08,692,14,2,0,9,0,24,37
1583,29203,2020-09-08,60,1,0,0,1,0,12,12
1584,29205,2020-09-08,51,0,0,0,1,0,17,0
1585,29207,2020-09-08,322,9,0,0,4,0,14,31
1586,29209,2020-09-08,316,2,2,0,5,0,16,6
1587,29211,2020-09-08,181,0,0,0,1,0,16,0
1588,29213,2020-09-08,976,22,12,0,9,1,16,39
1589,29215,2020-09-08,160,1,3,0,8,0,31,4
1590,29217,2020-09-08,113,0,4,0,4,0,19,0
1591,29219,2020-09-08,364,0,2,0,5,0,14,0
1592,29221,2020-09-08,269,1,2,0,4,0,16,4
1593,29223,2020-09-08,107,0,1,0,3,0,23,0
1594,29225,2020-09-08,299,1,8,0,11,0,28,3
